date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:19	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%2245-66ea6da1-58d009089363356b;;;%22	https://dustinbrett.com/robots.txt		(from )
19:35:19	8671/8671	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2006:05:21%20GMT	https://dustinbrett.com/	C:/Meine%20Webseiten/Clone/dustinbrett.com/index.html	(from )
19:35:19	26038/26038	---MCZ	200	added ('OK')	application/xml	etag:W/%2265b6-66ea6da1-782b5f1b22c04c72;br%22	https://dustinbrett.com/rss.xml	C:/Meine%20Webseiten/Clone/dustinbrett.com/rss.xml	(from https://dustinbrett.com/)
19:35:19	8849/8849	---M--	200	added ('OK')	image/png	etag:%222291-66ea7004-ca25e5a933edee84;;;%22	https://dustinbrett.com/Users/Public/Icons/Cache/Users/Public/Documents/Blog%20Posts/Carpe%20Diem.whtml.cache	C:/Meine%20Webseiten/Clone/dustinbrett.com/Users/Public/Icons/Cache/Users/Public/Documents/Blog%20Posts/Carpe%20Diem.whtml.png	(from https://dustinbrett.com/)
19:35:19	4609/4609	---M--	200	added ('OK')	image/png	etag:%221201-66ea6f5f-5060c0a38cf2edbe;;;%22	https://dustinbrett.com/Users/Public/Icons/Cache/YouTube/RRLq3T0Surs.cache	C:/Meine%20Webseiten/Clone/dustinbrett.com/Users/Public/Icons/Cache/YouTube/RRLq3T0Surs.png	(from https://dustinbrett.com/)
19:35:20	6786/6786	---M--	200	added ('OK')	image/png	etag:%221a82-66ea6f5d-ca8d55929699e14a;;;%22	https://dustinbrett.com/Users/Public/Icons/Cache/YouTube/nnQLHDmJSic.cache	C:/Meine%20Webseiten/Clone/dustinbrett.com/Users/Public/Icons/Cache/YouTube/nnQLHDmJSic.png	(from https://dustinbrett.com/)
19:35:20	7283/7283	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c73-66ea6db6-1cac8312fba7c31f;br%22	https://dustinbrett.com/_next/static/chunks/webpack-3ec458a9f7e22388.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/chunks/webpack-3ec458a9f7e22388.js	(from https://dustinbrett.com/)
19:35:20	139487/139487	---MCZ	200	added ('OK')	application/javascript	etag:W/%22220df-66ea6db5-6f62c1458da3a4fc;br%22	https://dustinbrett.com/_next/static/chunks/framework-945b357d4a851f4b.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/chunks/framework-945b357d4a851f4b.js	(from https://dustinbrett.com/)
19:35:20	110370/110370	---MCZ	200	added ('OK')	application/javascript	etag:W/%221af22-66ea6db5-8852217bdaf2e449;br%22	https://dustinbrett.com/_next/static/chunks/main-7d8823607f1c0446.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/chunks/main-7d8823607f1c0446.js	(from https://dustinbrett.com/)
19:35:21	511547/511547	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ce3b-66ea6db9-65f2a82ff74e02e4;br%22	https://dustinbrett.com/_next/static/chunks/pages/_app-d7abc7efd80531e6.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/chunks/pages/_app-d7abc7efd80531e6.js	(from https://dustinbrett.com/)
19:35:21	43423/43423	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a99f-66ea6da8-79accbbf9db5d84d;br%22	https://dustinbrett.com/_next/static/chunks/2808-95a0f80aacfa1f3b.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/chunks/2808-95a0f80aacfa1f3b.js	(from https://dustinbrett.com/)
19:35:21	28539/28539	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f7b-66ea6db8-9c80e6b1095d6b3a;br%22	https://dustinbrett.com/_next/static/chunks/pages/index-83a6e4b0c913becf.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/chunks/pages/index-83a6e4b0c913becf.js	(from https://dustinbrett.com/)
19:35:21	323/323	---MCZ	200	added ('OK')	application/javascript	etag:W/%22143-66ea6db7-3e3bccc827882321;br%22	https://dustinbrett.com/_next/static/XP687BMypkZ31mOiTCWmx/_buildManifest.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/XP687BMypkZ31mOiTCWmx/_buildManifest.js	(from https://dustinbrett.com/)
19:35:22	77/77	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d-66ea6db7-953968b8e7b7b7df;;;%22	https://dustinbrett.com/_next/static/XP687BMypkZ31mOiTCWmx/_ssgManifest.js	C:/Meine%20Webseiten/Clone/dustinbrett.com/_next/static/XP687BMypkZ31mOiTCWmx/_ssgManifest.js	(from https://dustinbrett.com/)
